title,times,link,difficulty
Minimum Difference Between Largest and Smallest Value in Three Moves,35,https://leetcode.com/problems/minimum-difference-between-largest-and-smallest-value-in-three-moves/,medium
Guess the Word,32,https://leetcode.com/problems/guess-the-word/,hard
Logger Rate Limiter,31,https://leetcode.com/problems/logger-rate-limiter/,premium
Asteroid Collision,30,https://leetcode.com/problems/asteroid-collision/,medium
Longest String Chain,28,https://leetcode.com/problems/longest-string-chain/,medium
Number of Good Ways to Split a String,23,https://leetcode.com/problems/number-of-good-ways-to-split-a-string/,medium
Count Square Submatrices with All Ones,22,https://leetcode.com/problems/count-square-submatrices-with-all-ones/,medium
Shortest Path in a Grid with Obstacles Elimination,20,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/,hard
Employee Importance,19,https://leetcode.com/problems/employee-importance/,medium
Maximum Points You Can Obtain from Cards,19,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards/,medium
Number of Matching Subsequences,17,https://leetcode.com/problems/number-of-matching-subsequences/,medium
Delete Nodes And Return Forest,17,https://leetcode.com/problems/delete-nodes-and-return-forest/,medium
Find And Replace in String,16,https://leetcode.com/problems/find-and-replace-in-string/,medium
Time Based Key-Value Store,15,https://leetcode.com/problems/time-based-key-value-store/,medium
Merge Intervals,15,https://leetcode.com/problems/merge-intervals/,medium
Bulls and Cows,14,https://leetcode.com/problems/bulls-and-cows/,medium
Decode String,12,https://leetcode.com/problems/decode-string/,medium
Longest Substring Without Repeating Characters,12,https://leetcode.com/problems/longest-substring-without-repeating-characters/,medium
Median of Two Sorted Arrays,12,https://leetcode.com/problems/median-of-two-sorted-arrays/,hard
Flip Equivalent Binary Trees,11,https://leetcode.com/problems/flip-equivalent-binary-trees/,medium
Add Two Numbers,11,https://leetcode.com/problems/add-two-numbers/,medium
Sentence Screen Fitting,11,https://leetcode.com/problems/sentence-screen-fitting/,premium
Car Fleet,10,https://leetcode.com/problems/car-fleet/,medium
Koko Eating Bananas,10,https://leetcode.com/problems/koko-eating-bananas/,medium
RLE Iterator,10,https://leetcode.com/problems/rle-iterator/,medium
Longest Increasing Path in a Matrix,10,https://leetcode.com/problems/longest-increasing-path-in-a-matrix/,hard
Stone Game III,9,https://leetcode.com/problems/stone-game-iii/,hard
Maximum Number of Points with Cost,9,https://leetcode.com/problems/maximum-number-of-points-with-cost/,medium
Max Value of Equation,9,https://leetcode.com/problems/max-value-of-equation/,hard
Longest Increasing Subsequence,9,https://leetcode.com/problems/longest-increasing-subsequence/,medium
Maximum Subarray,8,https://leetcode.com/problems/maximum-subarray/,easy
Robot Room Cleaner,8,https://leetcode.com/problems/robot-room-cleaner/,premium
3Sum,8,https://leetcode.com/problems/3sum/,medium
Longest Line of Consecutive One in Matrix,8,https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix/,premium
Array of Doubled Pairs,8,https://leetcode.com/problems/array-of-doubled-pairs/,medium
Car Fleet II,8,https://leetcode.com/problems/car-fleet-ii/,hard
01 Matrix,8,https://leetcode.com/problems/01-matrix/,medium
Minimum Number of Refueling Stops,8,https://leetcode.com/problems/minimum-number-of-refueling-stops/,hard
Pacific Atlantic Water Flow,7,https://leetcode.com/problems/pacific-atlantic-water-flow/,medium
